[2018-07-17T16:25:06.539Z]	<JoeAndrieu_>	ack manu
[2018-07-17T16:25:23.583Z]	<jungly>	manu: as far as next steps, most detailed use case i have seen at w3c
[2018-07-17T16:25:35.101Z]	<jungly>	... uncharted territory. min we could do
[2018-07-17T16:25:39.177Z]	<chase>	https://docs.google.com/document/d/1DvT5TlKHHTtnm43scpfAa1GxML3onx36mhhH2D1S89Y/edit
[2018-07-17T16:25:41.383Z]	<jungly>	... we could put it in respec format
[2018-07-17T16:25:48.602Z]	<jungly>	... put in as  acommunity group
[2018-07-17T16:25:57.331Z]	<jungly>	... at lease the CG is supportive of it
[2018-07-17T16:26:10.785Z]	<jungly>	... up to the working group to decide if they want to publish it
[2018-07-17T16:26:25.211Z]	<jungly>	... furthest it could get to is w3c NOTE
[2018-07-17T16:27:00.310Z]	<jungly>	... publish it for final community group specification, we push it for as  a w3c note and they will do it
[2018-07-17T16:27:24.484Z]	<jungly>	... however, human heartfelt story, but some subset of engineers might not respond well to it
[2018-07-17T16:27:39.361Z]	<jungly>	... that said, no one should be able to block it from being published
[2018-07-17T16:27:49.498Z]	<jungly>	... depends on what we want to do with it
[2018-07-17T16:27:52.618Z]	<JoeAndrieu_>	q?
[2018-07-17T16:28:09.318Z]	<jungly>	adrian: can somone connect me Sam
[2018-07-17T16:28:25.658Z]	<jungly>	JoeAndrieu: Will make the intro
[2018-07-17T16:28:33.277Z]	<heathervescent>	there is some noise on the call.
[2018-07-17T16:28:39.519Z]	<jungly>	JoeAndrieu: No other work items... doing great in terms of time
[2018-07-17T16:28:46.619Z]	<JoeAndrieu_>	https://w3c-ccg.github.io/roadmap/diagram.html
[2018-07-17T16:28:47.167Z]	<manu>	Topic: Roadmap
[2018-07-17T16:28:52.900Z]	<jungly>	... manu: can you introduct the roadmap
[2018-07-17T16:29:05.929Z]	<jungly>	manu: has come up before.. we try to plan the future of the group
[2018-07-17T16:29:25.499Z]	<jungly>	... some new to the group might be puzzled by community group and working group
[2018-07-17T16:29:35.919Z]	<jungly>	... CG is a long running group
[2018-07-17T16:29:41.938Z]	<jungly>	... WG is more focussed
[2018-07-17T16:29:57.901Z]	<jungly>	... CG is formed around security, education credentials, and self sov. identity
[2018-07-17T16:30:17.752Z]	<jungly>	... roadmap linked above is a view of what we _could_ do solely based on tech specs we could produce
[2018-07-17T16:30:33.332Z]	<jungly>	... specifically doesn't point to charters, use cases, stories and those kinds of things
[2018-07-17T16:30:44.242Z]	<jungly>	... i wanted to just put down a technical roadmap
[2018-07-17T16:30:48.960Z]	<jungly>	... what techs are we working on
[2018-07-17T16:30:55.251Z]	<jungly>	... and what we need to put in place
[2018-07-17T16:31:15.048Z]	<jungly>	.. .hopefully gives a fair idea to people
[2018-07-17T16:31:29.811Z]	<jungly>	... on the left of the diagram, is time
[2018-07-17T16:31:42.530Z]	<jungly>	... starts in the past JWS and JWK, signature mechaniss
[2018-07-17T16:31:49.259Z]	<jungly>	and then progresses to 2018... 2022
[2018-07-17T16:31:54.538Z]	<jungly>	... looks out to 2022
[2018-07-17T16:32:27.098Z]	<jungly>	... each thing beside year is when we are expecting XXX to be mature enough so we can start a specification
[2018-07-17T16:32:46.228Z]	<jungly>	... in blue 2018, jsonld has active working groups, they are failrly mature
